Contact Type,Contact,Street Address,Phone Number,Notes,Mapped location
Childcare,Wayne Reed Christian Childcare Center,"11 Lindsley Ave., #B",(615) 244-9311,serves J.C. Napier/Tony Sudekum community,"11 Lindsley Ave., #B
Nashville, TN
(36.152936, -86.76767)"
Rehab - Drug/Alcohol,The Next Door,402 22nd Ave. N.,(615) 251-8805,women only,"402 22nd Ave. N.
Nashville, TN
(36.156938, -86.80746)"
Crisis Info Resources,Morning Star Sanctuary,"Madison, TN",(615) 860-0003,,
GED/Education,Salvation Army,631 Dickerson Rd.,(615) 242-0411,,
Lawyers (Divorce),Ellen Turley,,(615) 386-7151,,"Nashville, TN
(36.166687, -86.779932)"
Phone,SafeLink Wireless Service,,1-800-SAFELINK,apply online @ www.safelinkwireless.com,"Nashville, TN
(36.166687, -86.779932)"
Students,Project Safe Center @ Vanderbilt,304 West Side Row,(615) 875-0660,Vanderbilt students victims advocacy center,"304 West Side Row
Nashville, TN
(36.147365, -86.805924)"
GED/Education,Conexion Americas,2195 Nolensville Pike,(615) 320-5152,they provide childcare for parents in class- for Latino families,"2195 Nolensville Pike
Nashville, TN
(36.126647, -86.753004)"
Lawyers (Divorce),Mary Langford,,(615) 627-4677,,"Nashville, TN
(36.166687, -86.779932)"
Food,Martha O'Bryan Center,711 S. 7th St.,(615) 760-4064,emergency food assistance,"711 S. 7th St.
Nashville, TN
(36.166867, -86.756502)"
Children's Services,Parent Help Line,"4721 Trousdale Dr., Suite 121",800-356-6767,listening/info/referrals for parents,"4721 Trousdale Dr., Suite 121
Nashville, TN
(36.079323, -86.758602)"
Medical/Dental,ProHealth Community Center,388 Harding Pl.,(615) 834-3738,,"388 Harding Pl.
Nashville, TN
(36.080294, -86.71885)"
Medical/Dental,Cross Point Dream Center Dental Clinic,4007 Delaware Ave.,(615) 942-5559,,"4007 Delaware Ave.
Nashville, TN
(36.154998, -86.835885)"
Children's Services,Jonah's Journey,,(615) 206-8881,www.jonahsjourney.org,"Nashville, TN
(36.166687, -86.779932)"
Teen Services,New Transitions,698 Cheyenne Blvd.,(615) 810-9521,youth 18-23 who have been in foster care/homeless,"698 Cheyenne Blvd.
Madison, TN
(36.260441, -86.675672)"
Crisis Info Resources,Human Trafficking ID & Response Hotline,,1-855-55TNHTH (86484),,"Nashville, TN
(36.166687, -86.779932)"
Senior/Disabled Housing,Metro Health Dept. Commodities Food Program,1417 Murfreesboro Pike,(615) 862-7907,monthly food box for low-income seniors aged 60+,"1417 Murfreesboro Pike
Nashville, TN
(36.113416, -86.690175)"
Rent/Mortgage/Utility Help,NeedLink Nashville,1600 56th Ave. N.,(615) 269-6835,Mondays & Tuesdays 8:00 AM-2:00 PM,"1600 56th Ave. N.
Nashville, TN
(36.165182, -86.855787)"
Job Training,Goodwill Industries - Spanish-speakers,,,contact Mark Kelly mark.kelly@givegw.org,"Nashville, TN
(36.166687, -86.779932)"
Transportation Services,Nashville MTA,,,www.nashvillemta.org; most fares $1.70,"Nashville, TN
(36.166687, -86.779932)"
ESL Classes,ThriftSmart,4890 Nolensville Rd.,(615) 833-8200,,
Food,Boys and Girls Club/Preston Taylor,915 38th Ave North,(615) 341-0101,community food bank-pantry,"915 38th Ave North
Nashville, TN
(36.159449, -86.830883)"
Medical/Dental,St. Thomas Family Health Center (West),5201 Charlotte Ave.,(615) 222-1900,for uninsured residents of Davidson County,"5201 Charlotte Ave.
Nashville, TN
(36.151903, -86.850302)"
Food,Edgehill Center,935 Edgehill Ave,(615) 256-5108,"emergency food assistance, community food bank","935 Edgehill Ave
Nashville, TN
(36.141807, -86.782879)"
Children's Services,Backfield in Motion,920 Woodland St.,(615) 227-9935,boys 10+ only,"920 Woodland St.
Nashville, TN
(36.175493, -86.755177)"
Medical/Dental,West End Women's Health Center,"2611 West End Ave., Suite 380",(615) 936-5858,,"2611 West End Ave., Suite 380
Nashville, TN
(36.145645, -86.811159)"
Children's Services,Head Start (3-4 years old)/Early Head Start (0-3 years old),,(615) 862-8860 x70170,,"Nashville, TN
(36.166687, -86.779932)"
Housing,Mending Hearts,,(615) 385-1696,women addicts only; must be clean 72 hours,"Nashville, TN
(36.166687, -86.779932)"
Immigrant/Refugee,American Association of Refugee and Immigrant Women,,(615) 823-5464,,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Immigration),Charla Haas,,(615) 321-0010,,"Nashville, TN
(36.166687, -86.779932)"
Pet Resources,Nashville Humane Society,213 Oceola Ave.,(615) 352-1010,,"213 Oceola Ave.
Nashville, TN
(36.146572, -86.859618)"
Children's Services,Napier Family Resource Center,60 Fairfield Ave.,(615) 261-6400,Napier Elementary families only,"60 Fairfield Ave.
Nashville, TN
(36.15001, -86.757067)"
Children's Services,Boys & Girls Club,,(615) 320-5106 or (615) 341-0101,,"Nashville, TN
(36.166687, -86.779932)"
GED/Education,Community Career Center,3703 Park Ave.,(615) 298-6752,,"3703 Park Ave.
Nashville, TN
(36.151584, -86.829723)"
Medical/Dental,East Public Family Center and Dental Clinic,1015 E. Trinity Ln.,(615) 862-6727,,"1015 E. Trinity Ln.
Nashville, TN
(36.204273, -86.74528)"
Children's Services,Tennessee Suicide Prevention Network,2416 21st Ave. S.,(615) 297-1077,,"2416 21st Ave. S.
Nashville, TN
(36.126814, -86.804182)"
Children's Services,Metro Action Commission,800 2nd Ave. N.,(615) 862-8860,food for after school/summer,"800 2nd Ave. N.
Nashville, TN
(36.171829, -86.781357)"
Food,East Nashville Cooperative Ministry,3115 Gallatin Pike,(615) 540-0122,,"3115 Gallatin Pike
Nashville, TN
(36.205669, -86.737087)"
Students,June Anderson Center for Women and Nontraditional Students,Student Union 330,(615) 898-5812,MTSU students,
Counseling,Denise Gissette (Chaplain) 636-9415,Michelle Bryant (Chaplain) 438-1230,(615) 830-6668,Claudia Woodland Wright (Chaplain),
Crisis Info Resources,Centerstone,,(615) 251-9791 (crisis: 800-681-7444),,"Nashville, TN
(36.166687, -86.779932)"
Job Training,Christian Women's Job Corp,420 Main St.,(615) 244-3669,women only,"420 Main St.
Nashville, TN
(36.172758, -86.765556)"
Legal Assistance,Nashville Bar Association,"150 4th Ave. N., Suite 1050",(615) 242-6546,,"150 4th Ave. N., Suite 1050
Nashville, TN
(36.162825, -86.778363)"
Food,Kayne Avenue Baptist Church,1025 12th Ave. S.,(615) 255-5528,emergency food assistance,"1025 12th Ave. S.
Nashville, TN
(36.144431, -86.786513)"
Transportation Services,J.U.M.P. Senior Shuttle,,(615) 726-5867,for seniors in North Nashville high-rises,"Nashville, TN
(36.166687, -86.779932)"
Rehab - Drug/Alcohol,New Life Lodge,999 Girl Scout Rd.,866-836-8125,,"999 Girl Scout Rd.
Burns, TN
(36.049384, -87.268619)"
ESL Classes,The Center for Refugees and Immigrants,"295 Plus Park Blvd., Suite 102",(615) 366-6868,,"295 Plus Park Blvd., Suite 102
Nashville, TN
(36.127161, -86.725002)"
Food,Fifteenth Ave. Baptist Church,1203 9th Ave,(615) 256-4326,soup kitchen,"1203 9th Ave
Nashville, TN
(36.174019, -86.793102)"
Children's Services,Martha O'Bryan Center,,(615) 254-1791,for diapers,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Hope Smiles Dental Clinic,115 Penn Warren Dr.,(615) 324-3904,,"115 Penn Warren Dr.
Brentwood, TN
(36.0346, -86.801318)"
Children's Services,MPHD Children's Special Services,2500 Charlotte Ave.,(615) 340-5697,for kids with chronic illnesses + disabilities,"2500 Charlotte Ave.
Nashville, TN
(36.154963, -86.81334)"
Counseling,Mental Health Cooperative Outreach,615 Church St.,(615) 862-5800,10 a.m. - 12 p.m. Thursdays,"615 Church St.
Nashville, TN
(36.162365, -86.78201)"
Housing,Christian Women's Job Corp,18 8th Ave. S,(615) 244-3669,women only,
Medical/Dental,Planned Parenthood,412 Dr. D.B. Todd Jr. Blvd.,(615) 321-7216,,"412 Dr. D.B. Todd Jr. Blvd.
Nashville, TN
(36.158896, -86.800748)"
Lawyers (Immigration),Linda Rose,,(615) 321-2256,,"Nashville, TN
(36.166687, -86.779932)"
ESL Classes,Park Avenue Baptist Church,4300 Park Ave.,(615) 297-5336,,"4300 Park Ave.
Nashville, TN
(36.15121, -86.838301)"
Food,Temple Baptist Church,3720 Kings Ln.,(615) 876-4084,emergency food assistance,"3720 Kings Ln.
Nashville, TN
(36.21823, -86.83935)"
Housing,Recovery Community,,(615) 569-3174,people with drug/alcohol addictions,"Madison, TN
(36.2561, -86.713898)"
Rehab - Drug/Alcohol,H.U.G.G.S.,3250 Dickerson Pike,(615) 262-0063,men/women who've been incarcerated,"3250 Dickerson Pike
Nashville, TN
(36.234817, -86.758362)"
Children's Services,HUGS (through Metro Health Dept),,(615) 340-8634,(Larry Sutton is contact) for car seats,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Immigration),Barry Frager,,(615) 366-1000,,"Nashville, TN
(36.166687, -86.779932)"
Clothing,Lifelines Outreach Ministries,719 Gallatin Pike South,(615) 884-2199,,
GED/Education,Soroptimist Grants for Women,,,educational grants for women in school,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,Bethlehem Family Resource Center,1417 Charlotte Ave.,(615) 329-3386,,"1417 Charlotte Ave.
Nashville, TN
(36.160212, -86.794888)"
Food,Project for Neighborhood Aftercare Bellevue,655 Colice-Jean Rd,(615) 662-3000,community food bank-pantry,"655 Colice-Jean Rd
Bellview, TN 37221
(36.071058, -86.934079)"
Rent/Mortgage/Utility Help,Rooftop Nashville,"3511 Gallatin Rd., Suite 202",(615) 815-9012,clients who have sec.8 and gov. housing,"3511 Gallatin Rd., Suite 202
Nashville, TN
(36.211332, -86.73276)"
Senior/Disabled Housing,Madison Towers,591 N. Dupont Ave.,(615) 252-3728,housing,
ESL Classes,Christ Presbyterian Church,7116 Crossroads Boulevard,(615) 635-2543,,
Food,Charis Ministries,235 White Bridge Pike,(615) 373-1261,,"235 White Bridge Pike
Nashville, TN
(36.140692, -86.85743)"
Rehab - Drug/Alcohol,MMC Alcohol and Drug Abuse Program,1005 Dr. D.B. Todd Jr. Blvd.,(615) 327-6255,for uninsured clients,"1005 Dr. D.B. Todd Jr. Blvd.
Nashville, TN
(36.165056, -86.804839)"
Teen Services,Charles Davis Foundation,648 Clayburn,(615) 254-0396,children in J.C. Napier homes,
Lawyers (Immigration),Rose Paxtor Hernandez,,(615) 321-2256,,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Divorce),Pam Spicer,,(615) 969-3043,,"Nashville, TN
(36.166687, -86.779932)"
Food,New Life Seventh Day Adventist Church,208 Gatewood Ave,(615) 228-7505,emergency food assistance,"208 Gatewood Ave
Nashville, TN
(36.199977, -86.768125)"
GED/Education,Even Start Family Literacy,"710 James Robertson Pkwy., 9th floor",(615) 532-2717,,"710 James Robertson Pkwy., 9th floor
Nashville, TN
(36.167682, -86.786786)"
Rent/Mortgage/Utility Help,Community Helpers,1453B Hope Way,(615) 898-0617,call before going,"1453B Hope Way
Murfreesboro,, TN
(35.871772, -86.424459)"
Counseling,Jean Crowe Advocacy Center,"100 James Robertson Parkway, Suite 100",(615) 862-4767,has weekly Support Group 10am Wednesday,"100 James Robertson Parkway, Suite 100
Nashville, TN
(36.167948, -86.777955)"
GED/Education,YWCA,1608 Woodmont Blvd.,(615) 269-9922,,"1608 Woodmont Blvd.
Nashville, TN
(36.113196, -86.801619)"
Crisis Info Resources,Bridges Domestic Violence Center,"Franklin, TN",(615) 599-5777,,
Students,Counseling @ Austin Peay,"Ard Building, 524 College St",(931) 221-6162,Counseling @ Austin Peay,
Job Training,Be a Helping Hand,827 W. McKennie Ave.,(615) 227-6000,,"827 W. McKennie Ave.
Nashville, TN
(36.192548, -86.754439)"
Counseling,Morning Star Sanctuary,,(615) 860-0003,,"Madison, TN
(36.2561, -86.713898)"
Job Training,The HELP Center,"3918 Dickerson Rd., Suite 110",(615) 891-2659,for the previously incarcerated,
Rent/Mortgage/Utility Help,Operation Stand Down,1125 12th Ave. S.,(615) 248-1981,veterans only,"1125 12th Ave. S.
Nashville, TN
(36.143411, -86.78683)"
ESL Classes,Brook Hollow Baptist Church,678 Brook Hollow Rd.,(615) 352-1295,,"678 Brook Hollow Rd.
Nashville, TN
(36.116253, -86.887638)"
Medical/Dental,Christian Women's Job Corp,420 Main St.,(615) 244-3669,women only,"420 Main St.
Nashville, TN
(36.172758, -86.765556)"
Housing,Magdalene House,5122 Charlotte Pike,(615) 298-1140,victims of abuse/trafficking/addiction/prostitution,"5122 Charlotte Pike
Nashville, TN
(36.151929, -86.849518)"
Christmas,18th Ave. Family Enrichment Center,1811 Osage St.,(615) 320-1131,residents of 37208,"1811 Osage St.
Nashville, TN
(36.177115, -86.809952)"
Food,Schrader Lane Church of Christ,1234 Schrader Lane,(615) 329-9830,community food bank-pantry,"1234 Schrader Lane
Nashville, TN
(36.170535, -86.823556)"
Housing,Sudanese Empowerment Center,,(615) 678-7257,ask for Gat Thach,"Nashville, TN
(36.166687, -86.779932)"
Rehab - Drug/Alcohol,Barnabas House @ Nashville Rescue Mission,639 Lafayette St.,(615) 255-2475,men 25+ only,"639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
Crisis Info Resources,Council on Aging of Greater Nashville,,(615) 353-4235,info for older adults,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Interfaith Dental Clinic,1721 Patterson St.,(615) 329-4790,,"1721 Patterson St.
Nashville, TN
(36.157065, -86.798652)"
Counseling,Centerstone,,(615) 251-9791 (crisis: 800-681-7444),,"Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,Tennessee Pathfinder,,(615) 322-8529,info for people with disabilities,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Alive Hospice,1718 Patterson St.,(615) 327-1085,for patients with terminal illnesses,"1718 Patterson St.
Nashville, TN
(36.157573, -86.797616)"
Counseling,Lifecare Family Services,145 Thompson Ln.,(615) 781-0013,"sliding scale fee, for low-income/uninsured","145 Thompson Ln.
Nashville, TN
(36.110258, -86.737758)"
GED/Education,Nashville International Center for Empowerment,"417 Welshwood Dr, Ste. 100",(615) 315-9681,,"417 Welshwood Dr, Ste. 100
Nashville, TN
(36.082424, -86.72939)"
Men's Resources,Matthew 25,"625 Benton Ave., Vine Hill Towers, 2nd floor",(615) 383-9577,"housing, job training, job placement",
Childcare,Davidson County Childcare Resource and Referral,"230 Appleton Pl., Peabody 91",(615) 322-6408,,"230 Appleton Pl., Peabody 91
Nashville, TN
(36.14302, -86.79718)"
GED/Education,Begin Anew,420 Main St.,(615) 244-3669,"GED courses, ESL, Scholarships. Etc.","420 Main St.
Nashville, TN
(36.172758, -86.765556)"
Students,Student Counseling Center @ UTK,1800 Volunteer Blvd,865-974-2196,UTK students,
Immigrant/Refugee,Conexion Americas,2195 Nolensville Pike,(615) 414-1030,"ESL, GED, Green card help, others","2195 Nolensville Pike
Nashville, TN
(36.126647, -86.753004)"
Clothing,Madison Church of Christ,106 Gallatin Pike North,(615) 868-3360,37115 zip code only; Mon- Fri. 8:30 a.m. to 11:30 a.m,
Food,Metro Social Services - Senior Nutrition Services,,(615) 880-2292,home-delivered/congregate; seniors only,"Nashville, TN
(36.166687, -86.779932)"
Immigrant/Refugee,Sudanese Empower Center (NICE),,(615) 678-7257,ask for Gat Thach,"Nashville, TN
(36.166687, -86.779932)"
Housing,YANA Recovery House,,(615) 352-3905 or (615) 383-2755,for female recovering addicts,"Nashville, TN
(36.166687, -86.779932)"
Food,Watkins Recreation Center,616 17th Ave. N.,(615) 862-8468,emergency food assistance,"616 17th Ave. N.
Nashville, TN
(36.162212, -86.800477)"
Rehab - Drug/Alcohol,Anchor Home @ Nashville Rescue Mission,639 Lafayette St.,(615) 255-2475,men 18-25 only,"639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
Children's Services,Morning Star Sanctuary,"Madison, TN",(615) 860-0003,,
GED/Education,World Relief,411 W Thompson Ln.,(615) 833-7735,refugees only,"411 W Thompson Ln.
Nashville, TN
(36.111026, -86.746634)"
Christmas,McGruder Family Resource Center,2013 25th Ave.,(615) 242-4681,residents of 37218,
Lawyers (Divorce),Rachel Welty,,(615) 356-4500,,"Nashville, TN
(36.166687, -86.779932)"
Counseling,MPHD Behavioral Health Svcs.,2500 Charlotte Ave.,(615) 340-2172,free for low-income/uninsured,"2500 Charlotte Ave.
Nashville, TN
(36.154963, -86.81334)"
Students,Counseling services @ MTSU,,(615) 898-2670,Counseling services for MTSU students,"Nashville, TN
(36.166687, -86.779932)"
Phone,Assurance Wirless,,1-888-898-4888,apply online @ www.assurancewireless.com,"Nashville, TN
(36.166687, -86.779932)"
Health Insurance,Federal Marketplace,,1-800-318-2596,www.healthcare.gov,"Nashville, TN
(36.166687, -86.779932)"
Teen Services,Youth Encouragement Services,521 McIver St.,(615) 315-5333,,"521 McIver St.
Nashville, TN
(36.104293, -86.746447)"
Transportation Services,Greyhound,1030 Charlotte Ave.,(615) 255-3556,,"1030 Charlotte Ave.
Nashville, TN
(36.162338, -86.790092)"
Counseling,Magdalene House,5122 Charlotte Pike,(615) 298-1140,"victims of abuse, trafficking, addiction, prostitution","5122 Charlotte Pike
Nashville, TN
(36.151929, -86.849518)"
Food,Magdalene House,5122 Charlotte Pike,(615) 298-1140,victims of abuse/trafficking/addiction/prositution,"5122 Charlotte Pike
Nashville, TN
(36.151929, -86.849518)"
Lawyers (Divorce),Megan Williams,,(615) 868-0095,,"Nashville, TN
(36.166687, -86.779932)"
Food,Samaritan Ministries of Temple Baptist Church,1041 28th Ave. N.,(615) 329-1523,community food bank-pantry,"1041 28th Ave. N.
Nashville, TN
(36.167155, -86.820595)"
Lawyers (Divorce),Diana Bradford,,(615) 714-9064,,"Nashville, TN
(36.166687, -86.779932)"
Teen Services,Park Center Transitional Youth Program,4501 Gallatin Pike,(615) 228-4341,youth 18-24 with severe mental/emotional disturbance,"4501 Gallatin Pike
Nashville, TN
(36.228176, -86.725205)"
Counseling,Behavioral Health Access,"311 23rd Ave. N., Room 104",(615) 340-2172,Davidson County residents only,"311 23rd Ave. N., Room 104
Nashville, TN
(36.152408, -86.807231)"
Job Training,Lipscomb Professional Resource Center @ Lipscomb,1 University Park Dr.,(615) 966-1000,Wed: 9:00 am - 10:15 am (college graduates only),"1 University Park Dr.
Nashville, TN
(36.105624, -86.800012)"
Immigrant/Refugee,Kurdish Human Rights Watch,2805 Foster Ave.,(615) 331-1956,,"2805 Foster Ave.
Nashville, TN
(36.113058, -86.742862)"
GED/Education,Sudanese Empowerment Center (NICE),,(615) 678-7257,ask for Gat Thach,"Nashville, TN
(36.166687, -86.779932)"
Job Training,The Contributor,154 5th Ave. N.,(615) 829-6829,must be homeless/formerly homeless,"154 5th Ave. N.
Nashville, TN
(36.162539, -86.77976)"
Children's Services,Second Harvest BackPack Program,,(615) 329-3491,weekend food supply for kids,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,Pearl Cohn Family Resource Center,904 26th Ave. N.,(615) 329-8150 x1850,,"904 26th Ave. N.
Nashville, TN
(36.164278, -86.816051)"
ESL Classes,Nashville Community Education,,(615) 298-8050,"Enrichment classes, no GRE","Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Lentz Public Health and Dental Clinic,311 23rd Ave. N.,(615) 340-5601,,"311 23rd Ave. N.
Nashville, TN
(36.152408, -86.807231)"
Immigrant/Refugee,Catholic Charities Immigration Services,2806 McGavock Pike,(615) 760-2778,,"2806 McGavock Pike
Nashville, TN
(36.213058, -86.687629)"
Clothing,Ladies of Charity,,(615) 327-3430,Mon - Fri 9:00 am - 2:00 pm. Closed 12-1pm. Call first- no walk ins,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,MPHD Breast/Cervical Cancer Screening,,(615) 340-0391,"age 40+ only, free for low-income/uninsured","Nashville, TN
(36.166687, -86.779932)"
Food,Hamilton United Methodist Church,3105 Hamilton Church Rd.,(615) 361-7210,emergency food assistance,
Medical/Dental,TSU/MMC Dept. of Dental Hygiene,3500 John A. Merritt Blvd.,(615) 963-5791,reduced rates,"3500 John A. Merritt Blvd.
Nashville, TN
(36.166975, -86.828549)"
Men's Resources,Salvation Army,631 Dickerson Rd.,(615) 242-0411,"housing, education, job training, ESL classes, financial aid, food",
Housing,Urban Housing Solutions,822 Woodland St.,(615) 726-2696,urbanhousingsolution.org,"822 Woodland St.
Nashville, TN
(36.174842, -86.756894)"
Children's Services,Prevent Child Abuse Tennessee,,(615) 383-0994,for diapers,"Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,Immigration and Customs Enforcement (ICE),,(615) 736-2036 x230 or (615) 781-5473,,"Nashville, TN
(36.166687, -86.779932)"
ESL Classes,ESL To Go,,(615) 741-7579 ext. 114,Refugees only,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,Cora Howe Family Resource Center,1928 Greenwood Ave.,(615) 262-6675,,"1928 Greenwood Ave.
Nashville, TN
(36.189276, -86.734801)"
Counseling,Mental Health Cooperative (Antioch),"1309 Bell Rd., Suite 201",(615) 365-3160,,
Rent/Mortgage/Utility Help,DHS - Families First,1000 2nd Ave. N.,(615) 532-4000 or (615) 743-2000,,"1000 2nd Ave. N.
Nashville, TN
(36.174455, -86.783049)"
Food,The Little Pantry that could,2011 24th Ave North,(615) 260-5769,emergency food assistance every Sat 9-1,"2011 24th Ave North
Nashville, TN
(36.183622, -86.815798)"
Rent/Mortgage/Utility Help,Davidson County Property Tax Relief and Tax Freeze Programs,,(615) 862-6330,,"Nashville, TN
(36.166687, -86.779932)"
GED/Education,Better Tomorrows Adult Education Center,908 Meridian St.,(615) 228-6525,,"908 Meridian St.
Nashville, TN
(36.187641, -86.767943)"
Food,King's Daughter Day Home,590 N DuPont St,(615) 865-5164,community food bank-pantry,"590 N DuPont St
Madison, TN 37115
(36.267485, -86.699242)"
Legal Assistance,Southern Migrant Legal Services,"311 Plus Park Blvd., Suite 135",(615) 538-0725,migrants/seasonal farm workers only,"311 Plus Park Blvd., Suite 135
Nashville, TN
(36.130361, -86.725354)"
Clothing,North Nashville Outreach,"2209 Buchanan St., Suite 200",(615) 242-1554,"All of 37208, 37228. PORTIONS of 37203, 37209, 37218. Call for availability, Clothing available Mon - Fri 9:00 am - 12:00 pm and in the afternoon by appointment only. Help given once in a three month period.","2209 Buchanan St., Suite 200
Nashville, TN
(36.180202, -86.814092)"
Men's Resources,Dismas House,1513 16th Ave. S.,(615) 297-9287,transitional housing for previously incarcerated men,"1513 16th Ave. S.
Nashville, TN
(36.138594, -86.794052)"
Counseling,Vanderbilt Project Safe,304 West Side Row,(615) 875-0660 (crisis: (615) 322-SAFE),,"304 West Side Row
Nashville, TN
(36.147365, -86.805924)"
